	1h	1h	
		1h	
5.01313028	1556.4	0.347781217750258	1297
5.039390845	1555.2	0.346749226006192	1296
5.06565141	1496.4	0.296181630546956	1247
5.091911975	1491.6	0.292053663570691	1243
5.11817254	1520.4	0.316821465428277	1267
5.144433105	1494	0.294117647058823	1245
5.17069367	1496.4	0.296181630546956	1247
5.196954235	1447.2	0.253869969040248	1206
5.2232148	1444.8	0.251805985552116	1204
5.249475365	1495.2	0.29514963880289	1246
5.27573593	1491.6	0.292053663570691	1243
5.301996495	1528.8	0.324045407636739	1274
5.32825706	1442.4	0.249742002063983	1202
5.354517625	1507.2	0.30546955624355	1256
5.38077819	1549.2	0.341589267285862	1291
5.407038755	1567.2	0.357069143446852	1306
5.43329932	1390.8	0.205366357069143	1159
5.459559885	1518	0.314757481940144	1265
5.48582045	1437.6	0.245614035087719	1198
5.512081015	1495.2	0.29514963880289	1246
5.53834158	1489.2	0.289989680082559	1241
5.564602145	1488	0.288957688338493	1240
5.59086271	1549.2	0.341589267285862	1291
5.617123275	1497.6	0.297213622291022	1248
5.64338384	1519.2	0.315789473684211	1266
5.669644405	1473.6	0.276573787409701	1228
5.69590497	1435.2	0.243550051599587	1196
5.722165535	1513.2	0.31062951496388	1261
5.7484261	1515.6	0.312693498452012	1263
5.774686665	1527.6	0.323013415892673	1273
5.80094723	1498.8	0.298245614035088	1249
5.827207795	1552.8	0.34468524251806	1294
5.85346836	1441.2	0.248710010319917	1201
5.879728925	1378.8	0.195046439628483	1149
5.90598949	1483.2	0.284829721362229	1236
5.932250055	1449.6	0.25593395252838	1208
5.95851062	1465.2	0.269349845201238	1221
5.984771185	1430.4	0.239422084623323	1192
6.01103175	1502.4	0.301341589267286	1252
6.037292315	1456.8	0.262125902992776	1214
6.06355288	1435.2	0.243550051599587	1196
6.089813445	1524	0.319917440660475	1270
6.11607401	1510.8	0.308565531475748	1259
6.142334575	1452	0.257997936016512	1210
6.16859514	1462.8	0.267285861713106	1219
6.194855705	1470	0.273477812177503	1225
6.22111627	1444.8	0.251805985552116	1204
6.247376835	1412.4	0.223942208462332	1177
6.2736374	1497.6	0.297213622291022	1248
6.299897965	1437.6	0.245614035087719	1198
6.32615853	1466.4	0.270381836945304	1222
6.352419095	1450.8	0.256965944272446	1209
6.378679661	1424.4	0.234262125902993	1187
6.404940226	1482	0.283797729618163	1235
6.431200791	1401.6	0.214654282765738	1168
6.457461356	1438.8	0.246646026831785	1199
6.483721921	1494	0.294117647058823	1245
6.509982486	1466.4	0.270381836945304	1222
6.536243051	1450.8	0.256965944272446	1209
6.562503616	1426.8	0.236326109391125	1189
6.588764181	1484.4	0.285861713106295	1237
6.615024746	1426.8	0.236326109391125	1189
6.641285311	1380	0.196078431372549	1150
6.667545876	1459.2	0.264189886480908	1216
6.693806441	1448.4	0.254901960784314	1207
6.720067006	1344	0.165118679050568	1120
6.746327571	1434	0.242518059855521	1195
6.772588136	1363.2	0.181630546955624	1136
6.798848701	1431.6	0.240454076367389	1193
6.825109266	1425.6	0.235294117647059	1188
6.851369831	1464	0.268317853457172	1220
6.877630396	1528.8	0.324045407636739	1274
6.903890961	1418.4	0.229102167182663	1182
6.930151526	1420.8	0.231166150670795	1184
6.956412091	1413.6	0.224974200206398	1178
6.982672656	1402.8	0.215686274509804	1169
7.008933221	1399.2	0.212590299277606	1166
7.035193786	1430.4	0.239422084623323	1192
7.061454351	1449.6	0.25593395252838	1208
7.087714916	1468.8	0.272445820433437	1224
7.113975481	1444.8	0.251805985552116	1204
7.140236046	1536	0.330237358101135	1280
7.166496611	1436.4	0.244582043343653	1197
7.192757176	1370.4	0.187822497420021	1142
7.219017741	1465.2	0.269349845201238	1221
7.245278306	1418.4	0.229102167182663	1182
7.271538871	1434	0.242518059855521	1195
7.297799436	1399.2	0.212590299277606	1166
7.324060001	1438.8	0.246646026831785	1199
7.350320566	1398	0.21155830753354	1165
7.376581131	1389.6	0.204334365325077	1158
7.402841696	1320	0.144478844169247	1100
7.429102261	1359.6	0.178534571723426	1133
7.455362826	1398	0.21155830753354	1165
7.481623391	1419.6	0.230134158926729	1183
7.507883956	1455.6	0.26109391124871	1213
7.534144521	1346.4	0.1671826625387	1122
7.560405086	1374	0.190918472652219	1145
7.586665651	1380	0.196078431372549	1150
7.612926216	1383.6	0.199174406604747	1153
7.639186781	1394.4	0.208462332301342	1162
7.665447346	1336.8	0.158926728586171	1114
7.691707911	1392	0.206398348813209	1160
7.717968476	1392	0.206398348813209	1160
7.744229041	1425.6	0.235294117647059	1188
7.770489606	1460.4	0.265221878224974	1217
7.796750171	1399.2	0.212590299277606	1166
7.823010736	1340.4	0.162022703818369	1117
7.849271301	1442.4	0.249742002063983	1202
7.875531866	1390.8	0.205366357069143	1159
7.901792431	1330.8	0.153766769865841	1109
7.928052996	1398	0.21155830753354	1165
7.954313561	1458	0.263157894736842	1215
7.980574126	1376.4	0.192982456140351	1147
8.006834691	1329.6	0.152734778121775	1108
8.033095256	1396.8	0.210526315789474	1164
8.059355821	1393.2	0.207430340557276	1161
8.085616386	1359.6	0.178534571723426	1133
8.111876951	1381.2	0.197110423116615	1151
8.138137516	1309.2	0.135190918472652	1091
8.164398081	1377.6	0.194014447884417	1148
8.190658646	1390.8	0.205366357069143	1159
8.216919211	1394.4	0.208462332301342	1162
8.243179776	1340.4	0.162022703818369	1117
8.269440341	1348.8	0.169246646026832	1124
8.295700906	1444.8	0.251805985552116	1204
8.321961471	1354.8	0.174406604747162	1129
8.348222036	1413.6	0.224974200206398	1178
8.374482601	1414.8	0.226006191950464	1179
8.400743166	1417.2	0.228070175438596	1181
8.427003731	1327.2	0.150670794633643	1106
8.453264296	1376.4	0.192982456140351	1147
8.479524861	1341.6	0.163054695562435	1118
8.505785426	1429.2	0.238390092879257	1191
8.532045991	1378.8	0.195046439628483	1149
8.558306556	1386	0.201238390092879	1155
8.584567121	1322.4	0.146542827657379	1102
8.610827686	1350	0.170278637770898	1125
8.637088251	1383.6	0.199174406604747	1153
8.663348816	1410	0.2218782249742	1175
8.689609381	1335.6	0.157894736842105	1113
8.715869946	1376.4	0.192982456140351	1147
8.742130511	1334.4	0.156862745098039	1112
8.768391076	1429.2	0.238390092879257	1191
8.794651641	1396.8	0.210526315789474	1164
8.820912206	1406.4	0.218782249742002	1172
8.847172771	1424.4	0.234262125902993	1187
8.873433336	1334.4	0.156862745098039	1112
8.899693901	1368	0.185758513931889	1140
8.925954466	1370.4	0.187822497420021	1142
8.952215031	1353.6	0.173374613003096	1128
8.978475596	1371.6	0.188854489164087	1143
9.004736161	1260	0.0928792569659443	1050
9.030996726	1354.8	0.174406604747162	1129
9.057257291	1371.6	0.188854489164087	1143
9.083517856	1354.8	0.174406604747162	1129
9.109778422	1293.6	0.121775025799794	1078
9.136038987	1414.8	0.226006191950464	1179
9.162299552	1468.8	0.272445820433437	1224
9.188560117	1270.8	0.102167182662539	1059
9.214820682	1364.4	0.18266253869969	1137
9.241081247	1336.8	0.158926728586171	1114
9.267341812	1381.2	0.197110423116615	1151
9.293602377	1396.8	0.210526315789474	1164
9.319862942	1284	0.113519091847265	1070
9.346123507	1290	0.118679050567595	1075
9.372384072	1358.4	0.17750257997936	1132
9.398644637	1339.2	0.160990712074303	1116
9.424905202	1318.8	0.143446852425181	1099
9.451165767	1404	0.21671826625387	1170
9.477426332	1347.6	0.168214654282766	1123
9.503686897	1303.2	0.130030959752322	1086
9.529947462	1366.8	0.184726522187822	1139
9.556208027	1375.2	0.191950464396285	1146
9.582468592	1346.4	0.1671826625387	1122
9.608729157	1356	0.175438596491228	1130
9.634989722	1365.6	0.183694530443756	1138
9.661250287	1279.2	0.109391124871001	1066
9.687510852	1393.2	0.207430340557276	1161
9.713771417	1356	0.175438596491228	1130
9.740031982	1324.8	0.148606811145511	1104
9.766292547	1274.4	0.105263157894737	1062
9.792553112	1284	0.113519091847265	1070
9.818813677	1338	0.159958720330237	1115
9.845074242	1320	0.144478844169247	1100
9.871334807	1290	0.118679050567595	1075
9.897595372	1345.2	0.166150670794634	1121
9.923855937	1360.8	0.179566563467492	1134
9.950116502	1371.6	0.188854489164087	1143
9.976377067	1381.2	0.197110423116615	1151
10.002637632	1329.6	0.152734778121775	1108
10.028898197	1358.4	0.17750257997936	1132
10.055158762	1375.2	0.191950464396285	1146
10.081419327	1345.2	0.166150670794634	1121
10.107679892	1344	0.165118679050568	1120
10.133940457	1376.4	0.192982456140351	1147
10.160201022	1356	0.175438596491228	1130
10.186461587	1311.6	0.137254901960784	1093
10.212722152	1398	0.21155830753354	1165
10.238982717	1268.4	0.100103199174407	1057
10.265243282	1324.8	0.148606811145511	1104
10.291503847	1317.6	0.142414860681115	1098
10.317764412	1317.6	0.142414860681115	1098
10.344024977	1375.2	0.191950464396285	1146
10.370285542	1322.4	0.146542827657379	1102
10.396546107	1250.4	0.0846233230134159	1042
