	16h	Normalized1
		16h
5.01313028	1382	0.0960960960960961
5.039390845	1421	0.125375375375375
5.06565141	1368	0.0855855855855856
5.091911975	1425	0.128378378378378
5.11817254	1405	0.113363363363363
5.144433105	1388	0.100600600600601
5.17069367	1342	0.0660660660660661
5.196954235	1411	0.117867867867868
5.2232148	1377	0.0923423423423423
5.249475365	1393	0.104354354354354
5.27573593	1408	0.115615615615616
5.301996495	1429	0.131381381381381
5.32825706	1357	0.0773273273273273
5.354517625	1395	0.105855855855856
5.38077819	1357	0.0773273273273273
5.407038755	1467	0.15990990990991
5.43329932	1380	0.0945945945945946
5.459559885	1401	0.11036036036036
5.48582045	1422	0.126126126126126
5.512081015	1403	0.111861861861862
5.53834158	1369	0.0863363363363363
5.564602145	1384	0.0975975975975976
5.59086271	1357	0.0773273273273273
5.617123275	1357	0.0773273273273273
5.64338384	1388	0.100600600600601
5.669644405	1469	0.161411411411411
5.69590497	1431	0.132882882882883
5.722165535	1405	0.113363363363363
5.7484261	1374	0.0900900900900901
5.774686665	1405	0.113363363363363
5.80094723	1406	0.114114114114114
5.827207795	1460	0.154654654654655
5.85346836	1396	0.106606606606607
5.879728925	1426	0.129129129129129
5.90598949	1401	0.11036036036036
5.932250055	1408	0.115615615615616
5.95851062	1349	0.0713213213213213
5.984771185	1370	0.0870870870870871
6.01103175	1403	0.111861861861862
6.037292315	1386	0.0990990990990991
6.06355288	1299	0.0337837837837838
6.089813445	1361	0.0803303303303303
6.11607401	1405	0.113363363363363
6.142334575	1379	0.0938438438438438
6.16859514	1425	0.128378378378378
6.194855705	1417	0.122372372372372
6.22111627	1456	0.151651651651652
6.247376835	1400	0.10960960960961
6.2736374	1371	0.0878378378378378
6.299897965	1406	0.114114114114114
6.32615853	1367	0.0848348348348348
6.352419095	1419	0.123873873873874
6.378679661	1433	0.134384384384384
6.404940226	1371	0.0878378378378378
6.431200791	1411	0.117867867867868
6.457461356	1371	0.0878378378378378
6.483721921	1424	0.127627627627628
6.509982486	1392	0.103603603603604
6.536243051	1395	0.105855855855856
6.562503616	1393	0.104354354354354
6.588764181	1365	0.0833333333333333
6.615024746	1403	0.111861861861862
6.641285311	1453	0.149399399399399
6.667545876	1355	0.0758258258258258
6.693806441	1365	0.0833333333333333
6.720067006	1375	0.0908408408408408
6.746327571	1405	0.113363363363363
6.772588136	1382	0.0960960960960961
6.798848701	1478	0.168168168168168
6.825109266	1416	0.121621621621622
6.851369831	1469	0.161411411411411
6.877630396	1463	0.156906906906907
6.903890961	1405	0.113363363363363
6.930151526	1376	0.0915915915915916
6.956412091	1415	0.120870870870871
6.982672656	1460	0.154654654654655
7.008933221	1393	0.104354354354354
7.035193786	1429	0.131381381381381
7.061454351	1375	0.0908408408408408
7.087714916	1315	0.0457957957957958
7.113975481	1378	0.0930930930930931
7.140236046	1440	0.13963963963964
7.166496611	1359	0.0788288288288288
7.192757176	1460	0.154654654654655
7.219017741	1421	0.125375375375375
7.245278306	1480	0.16966966966967
7.271538871	1389	0.101351351351351
7.297799436	1400	0.10960960960961
7.324060001	1394	0.105105105105105
7.350320566	1421	0.125375375375375
7.376581131	1441	0.14039039039039
7.402841696	1381	0.0953453453453453
7.429102261	1341	0.0653153153153153
7.455362826	1396	0.106606606606607
7.481623391	1402	0.111111111111111
7.507883956	1403	0.111861861861862
7.534144521	1409	0.116366366366366
7.560405086	1353	0.0743243243243243
7.586665651	1373	0.0893393393393393
7.612926216	1398	0.108108108108108
7.639186781	1452	0.148648648648649
7.665447346	1426	0.129129129129129
7.691707911	1478	0.168168168168168
7.717968476	1419	0.123873873873874
7.744229041	1384	0.0975975975975976
7.770489606	1429	0.131381381381381
7.796750171	1382	0.0960960960960961
7.823010736	1410	0.117117117117117
7.849271301	1402	0.111111111111111
7.875531866	1380	0.0945945945945946
7.901792431	1388	0.100600600600601
7.928052996	1412	0.118618618618619
7.954313561	1380	0.0945945945945946
7.980574126	1412	0.118618618618619
8.006834691	1432	0.133633633633634
8.033095256	1372	0.0885885885885886
8.059355821	1423	0.126876876876877
8.085616386	1373	0.0893393393393393
8.111876951	1433	0.134384384384384
8.138137516	1336	0.0615615615615616
8.164398081	1367	0.0848348348348348
8.190658646	1381	0.0953453453453453
8.216919211	1479	0.168918918918919
8.243179776	1401	0.11036036036036
8.269440341	1419	0.123873873873874
8.295700906	1371	0.0878378378378378
8.321961471	1413	0.119369369369369
8.348222036	1348	0.0705705705705706
8.374482601	1421	0.125375375375375
8.400743166	1355	0.0758258258258258
8.427003731	1415	0.120870870870871
8.453264296	1402	0.111111111111111
8.479524861	1358	0.0780780780780781
8.505785426	1393	0.104354354354354
8.532045991	1344	0.0675675675675676
8.558306556	1382	0.0960960960960961
8.584567121	1381	0.0953453453453453
8.610827686	1437	0.137387387387387
8.637088251	1458	0.153153153153153
8.663348816	1432	0.133633633633634
8.689609381	1411	0.117867867867868
8.715869946	1396	0.106606606606607
8.742130511	1407	0.114864864864865
8.768391076	1374	0.0900900900900901
8.794651641	1406	0.114114114114114
8.820912206	1429	0.131381381381381
8.847172771	1461	0.155405405405405
8.873433336	1462	0.156156156156156
8.899693901	1388	0.100600600600601
8.925954466	1451	0.147897897897898
8.952215031	1345	0.0683183183183183
8.978475596	1388	0.100600600600601
9.004736161	1354	0.0750750750750751
9.030996726	1407	0.114864864864865
9.057257291	1356	0.0765765765765766
9.083517856	1408	0.115615615615616
9.109778422	1374	0.0900900900900901
9.136038987	1385	0.0983483483483484
9.162299552	1344	0.0675675675675676
9.188560117	1443	0.141891891891892
9.214820682	1360	0.0795795795795796
9.241081247	1378	0.0930930930930931
9.267341812	1339	0.0638138138138138
9.293602377	1341	0.0653153153153153
9.319862942	1395	0.105855855855856
9.346123507	1448	0.145645645645646
9.372384072	1417	0.122372372372372
9.398644637	1401	0.11036036036036
9.424905202	1482	0.171171171171171
9.451165767	1419	0.123873873873874
9.477426332	1404	0.112612612612613
9.503686897	1319	0.0487987987987988
9.529947462	1489	0.176426426426426
9.556208027	1352	0.0735735735735736
9.582468592	1410	0.117117117117117
9.608729157	1398	0.108108108108108
9.634989722	1391	0.102852852852853
9.661250287	1374	0.0900900900900901
9.687510852	1419	0.123873873873874
9.713771417	1459	0.153903903903904
9.740031982	1454	0.15015015015015
9.766292547	1394	0.105105105105105
9.792553112	1392	0.103603603603604
9.818813677	1356	0.0765765765765766
9.845074242	1431	0.132882882882883
9.871334807	1463	0.156906906906907
9.897595372	1344	0.0675675675675676
9.923855937	1371	0.0878378378378378
9.950116502	1413	0.119369369369369
9.976377067	1342	0.0660660660660661
10.002637632	1401	0.11036036036036
10.028898197	1392	0.103603603603604
10.055158762	1346	0.0690690690690691
10.081419327	1451	0.147897897897898
10.107679892	1394	0.105105105105105
10.133940457	1319	0.0487987987987988
10.160201022	1384	0.0975975975975976
10.186461587	1361	0.0803303303303303
10.212722152	1450	0.147147147147147
10.238982717	1385	0.0983483483483484
10.265243282	1387	0.0998498498498498
10.291503847	1453	0.149399399399399
10.317764412	1425	0.128378378378378
10.344024977	1489	0.176426426426426
10.370285542	1366	0.0840840840840841
10.396546107	1398	0.108108108108108
10.422806672	1349	0.0713213213213213
10.449067237	1401	0.11036036036036
10.475327802	1373	0.0893393393393393
10.501588367	1342	0.0660660660660661
10.527848932	1407	0.114864864864865
10.554109497	1405	0.113363363363363
10.580370062	1379	0.0938438438438438
