	18h	Normalized1
		18h
5.01313028	1215	0.216145833333333
5.039390845	1328	0.314236111111111
5.06565141	1328	0.314236111111111
5.091911975	1291	0.282118055555556
5.11817254	1305	0.294270833333333
5.144433105	1239	0.236979166666667
5.17069367	1285	0.276909722222222
5.196954235	1260	0.255208333333333
5.2232148	1289	0.280381944444444
5.249475365	1242	0.239583333333333
5.27573593	1329	0.315104166666667
5.301996495	1308	0.296875
5.32825706	1275	0.268229166666667
5.354517625	1300	0.289930555555556
5.38077819	1320	0.307291666666667
5.407038755	1267	0.261284722222222
5.43329932	1231	0.230034722222222
5.459559885	1236	0.234375
5.48582045	1286	0.277777777777778
5.512081015	1280	0.272569444444444
5.53834158	1181	0.186631944444444
5.564602145	1268	0.262152777777778
5.59086271	1238	0.236111111111111
5.617123275	1296	0.286458333333333
5.64338384	1189	0.193576388888889
5.669644405	1345	0.328993055555556
5.69590497	1183	0.188368055555556
5.722165535	1275	0.268229166666667
5.7484261	1297	0.287326388888889
5.774686665	1303	0.292534722222222
5.80094723	1210	0.211805555555556
5.827207795	1178	0.184027777777778
5.85346836	1261	0.256076388888889
5.879728925	1279	0.271701388888889
5.90598949	1183	0.188368055555556
5.932250055	1254	0.25
5.95851062	1224	0.223958333333333
5.984771185	1244	0.241319444444444
6.01103175	1230	0.229166666666667
6.037292315	1214	0.215277777777778
6.06355288	1292	0.282986111111111
6.089813445	1299	0.2890625
6.11607401	1226	0.225694444444444
6.142334575	1245	0.2421875
6.16859514	1162	0.170138888888889
6.194855705	1172	0.178819444444444
6.22111627	1247	0.243923611111111
6.247376835	1231	0.230034722222222
6.2736374	1220	0.220486111111111
6.299897965	1177	0.183159722222222
6.32615853	1285	0.276909722222222
6.352419095	1298	0.288194444444444
6.378679661	1206	0.208333333333333
6.404940226	1276	0.269097222222222
6.431200791	1184	0.189236111111111
6.457461356	1237	0.235243055555556
6.483721921	1193	0.197048611111111
6.509982486	1195	0.198784722222222
6.536243051	1186	0.190972222222222
6.562503616	1168	0.175347222222222
6.588764181	1210	0.211805555555556
6.615024746	1174	0.180555555555556
6.641285311	1232	0.230902777777778
6.667545876	1189	0.193576388888889
6.693806441	1205	0.207465277777778
6.720067006	1233	0.231770833333333
6.746327571	1245	0.2421875
6.772588136	1235	0.233506944444444
6.798848701	1246	0.243055555555556
6.825109266	1175	0.181423611111111
6.851369831	1231	0.230034722222222
6.877630396	1215	0.216145833333333
6.903890961	1268	0.262152777777778
6.930151526	1183	0.188368055555556
6.956412091	1218	0.21875
6.982672656	1218	0.21875
7.008933221	1257	0.252604166666667
7.035193786	1178	0.184027777777778
7.061454351	1243	0.240451388888889
7.087714916	1234	0.232638888888889
7.113975481	1188	0.192708333333333
7.140236046	1197	0.200520833333333
7.166496611	1228	0.227430555555556
7.192757176	1218	0.21875
7.219017741	1303	0.292534722222222
7.245278306	1199	0.202256944444444
7.271538871	1170	0.177083333333333
7.297799436	1172	0.178819444444444
7.324060001	1203	0.205729166666667
7.350320566	1301	0.290798611111111
7.376581131	1191	0.1953125
7.402841696	1142	0.152777777777778
7.429102261	1169	0.176215277777778
7.455362826	1231	0.230034722222222
7.481623391	1208	0.210069444444444
7.507883956	1187	0.191840277777778
7.534144521	1154	0.163194444444444
7.560405086	1203	0.205729166666667
7.586665651	1206	0.208333333333333
7.612926216	1210	0.211805555555556
7.639186781	1210	0.211805555555556
7.665447346	1209	0.2109375
7.691707911	1251	0.247395833333333
7.717968476	1252	0.248263888888889
7.744229041	1204	0.206597222222222
7.770489606	1220	0.220486111111111
7.796750171	1204	0.206597222222222
7.823010736	1214	0.215277777777778
7.849271301	1231	0.230034722222222
7.875531866	1241	0.238715277777778
7.901792431	1222	0.222222222222222
7.928052996	1242	0.239583333333333
7.954313561	1223	0.223090277777778
7.980574126	1199	0.202256944444444
8.006834691	1246	0.243055555555556
8.033095256	1173	0.1796875
8.059355821	1168	0.175347222222222
8.085616386	1173	0.1796875
8.111876951	1177	0.183159722222222
8.138137516	1190	0.194444444444444
8.164398081	1194	0.197916666666667
8.190658646	1173	0.1796875
8.216919211	1149	0.158854166666667
8.243179776	1261	0.256076388888889
8.269440341	1181	0.186631944444444
8.295700906	1176	0.182291666666667
8.321961471	1288	0.279513888888889
8.348222036	1180	0.185763888888889
8.374482601	1212	0.213541666666667
8.400743166	1213	0.214409722222222
8.427003731	1203	0.205729166666667
8.453264296	1197	0.200520833333333
8.479524861	1254	0.25
8.505785426	1175	0.181423611111111
8.532045991	1135	0.146701388888889
8.558306556	1213	0.214409722222222
8.584567121	1163	0.171006944444444
8.610827686	1226	0.225694444444444
8.637088251	1207	0.209201388888889
8.663348816	1231	0.230034722222222
8.689609381	1179	0.184895833333333
8.715869946	1190	0.194444444444444
8.742130511	1278	0.270833333333333
8.768391076	1239	0.236979166666667
8.794651641	1163	0.171006944444444
8.820912206	1121	0.134548611111111
8.847172771	1230	0.229166666666667
8.873433336	1265	0.259548611111111
8.899693901	1236	0.234375
8.925954466	1221	0.221354166666667
8.952215031	1186	0.190972222222222
8.978475596	1225	0.224826388888889
9.004736161	1163	0.171006944444444
9.030996726	1157	0.165798611111111
9.057257291	1142	0.152777777777778
9.083517856	1159	0.167534722222222
9.109778422	1226	0.225694444444444
9.136038987	1220	0.220486111111111
9.162299552	1209	0.2109375
9.188560117	1241	0.238715277777778
9.214820682	1152	0.161458333333333
9.241081247	1148	0.157986111111111
9.267341812	1202	0.204861111111111
9.293602377	1149	0.158854166666667
9.319862942	1149	0.158854166666667
9.346123507	1229	0.228298611111111
9.372384072	1232	0.230902777777778
9.398644637	1169	0.176215277777778
9.424905202	1215	0.216145833333333
9.451165767	1209	0.2109375
9.477426332	1217	0.217881944444444
9.503686897	1202	0.204861111111111
9.529947462	1133	0.144965277777778
9.556208027	1178	0.184027777777778
9.582468592	1157	0.165798611111111
9.608729157	1122	0.135416666666667
9.634989722	1184	0.189236111111111
9.661250287	1097	0.113715277777778
9.687510852	1205	0.207465277777778
9.713771417	1142	0.152777777777778
9.740031982	1173	0.1796875
9.766292547	1189	0.193576388888889
9.792553112	1174	0.180555555555556
9.818813677	1191	0.1953125
9.845074242	1251	0.247395833333333
9.871334807	1214	0.215277777777778
9.897595372	1112	0.126736111111111
9.923855937	1225	0.224826388888889
9.950116502	1154	0.163194444444444
9.976377067	1147	0.157118055555556
10.002637632	1185	0.190104166666667
10.028898197	1187	0.191840277777778
10.055158762	1177	0.183159722222222
10.081419327	1202	0.204861111111111
10.107679892	1194	0.197916666666667
10.133940457	1169	0.176215277777778
10.160201022	1109	0.124131944444444
10.186461587	1165	0.172743055555556
10.212722152	1146	0.15625
10.238982717	1177	0.183159722222222
10.265243282	1225	0.224826388888889
10.291503847	1203	0.205729166666667
10.317764412	1151	0.160590277777778
10.344024977	1153	0.162326388888889
10.370285542	1150	0.159722222222222
10.396546107	1156	0.164930555555556
10.422806672	1149	0.158854166666667
10.449067237	1218	0.21875
10.475327802	1204	0.206597222222222
10.501588367	1239	0.236979166666667
10.527848932	1153	0.162326388888889
10.554109497	1193	0.197048611111111
10.580370062	1137	0.1484375
10.606630627	1136	0.147569444444444
10.632891192	1148	0.157986111111111
10.659151757	1136	0.147569444444444
10.685412322	1196	0.199652777777778
10.711672887	1159	0.167534722222222
10.737933452	1268	0.262152777777778
10.764194017	1186	0.190972222222222
10.790454582	1130	0.142361111111111
10.816715147	1175	0.181423611111111
10.842975712	1213	0.214409722222222
10.869236277	1097	0.113715277777778
10.895496842	1176	0.182291666666667
10.921757407	1113	0.127604166666667
10.948017972	1157	0.165798611111111
10.974278537	1173	0.1796875
11.000539102	1190	0.194444444444444
11.026799667	1154	0.163194444444444
